"","wait_time"
"2908",13.1111111111111
"2916",25.85
"2932",22.3333333333333
"280",8.25
"368",21.8571428571429
"456",16.875
"480",14.8
"488",37.75
"496",26.4705882352941
"504",30.2857142857143
"511",23
"519",24.25
"288",32.5
"296",15.7777777777778
"304",23
"312",25.1
"320",23.3333333333333
"328",17.5
"336",27.8
"344",21.695652173913
"352",16.3333333333333
"360",20.2727272727273
"376",21.0714285714286
"384",12.2727272727273
"392",14
"400",12.8181818181818
"408",10.3
"416",29.25
"424",15.5384615384615
"432",19.15
"440",19.25
"448",16.1111111111111
"464",19
"472",5
"527",10
"615",16.1666666666667
"703",25.9166666666667
"719",35
"727",17.3076923076923
"735",6.66666666666667
"743",41.4444444444444
"751",18.75
"759",10.9166666666667
"535",31
"543",28.9090909090909
"551",24.4166666666667
"559",21
"567",19.6875
"575",15.8571428571429
"583",21.4285714285714
"591",17.8
"599",26.5714285714286
"607",26.4
"623",26
"631",60
"639",34.15
"647",30.0833333333333
"655",26.2857142857143
"663",15.25
"671",15.125
"679",17.4285714285714
"687",19.4166666666667
"695",24.1428571428571
"711",18.5333333333333
"767",16.5
"855",17.25
"943",10.9230769230769
"967",11.8888888888889
"975",10
"983",11.6875
"991",11.3333333333333
"999",11.6
"1007",11.7272727272727
"775",9.2
"783",20.7142857142857
"791",9.75
"799",20.7647058823529
"807",20.125
"815",16.125
"823",22.0625
"831",8.57142857142857
"839",7.28571428571429
"847",12
"863",9.875
"871",17.5
"879",34.875
"887",41.6666666666667
"895",17.5
"903",18.0909090909091
"911",10.5555555555556
"919",22.2
"927",66.5
"935",3.5
"951",60.0909090909091
"959",21.6363636363636
"2",23.0833333333333
"101",32.7727272727273
"200",54.1666666666667
"227",26.2857142857143
"236",72.3333333333333
"245",13.05
"254",13.2727272727273
"263",15.8571428571429
"272",9.44444444444444
"11",6
"20",17.2666666666667
"29",11.1904761904762
"38",10
"47",10
"56",7.6
"65",10
"74",15.1666666666667
"83",15
"92",39.36
"110",49
"119",18.4285714285714
"128",14.2857142857143
"137",16.8333333333333
"146",13.2
"155",13
"164",25.5
"173",25
"182",10.9166666666667
"191",6.33333333333333
"209",13.0833333333333
"218",22
"1016",7.55555555555556
"1115",31.1111111111111
"1208",40.3777777777778
"1217",14.92
"1226",18.5135135135135
"1235",19.6808510638298
"1244",14.3333333333333
"1252",34.6111111111111
"1261",35.0227272727273
"1025",38.1578947368421
"1034",27.4745762711864
"1043",34.9347826086956
"1052",28.9423076923077
"1061",18.6170212765957
"1070",18.2045454545455
"1079",41.9649122807018
"1088",32.7380952380952
"1097",45.56
"1106",40.6976744186046
"1124",35.5777777777778
"1133",28.8809523809524
"1142",20.6216216216216
"1151",29.4081632653061
"1160",14.2857142857143
"1169",13.2727272727273
"1178",21.6666666666667
"1187",37.1276595744681
"1196",35.9523809523809
"1270",43.0181818181818
"1362",33.7708333333333
